gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0000016,Clifton Abraham,Clifton,Clifton,Abraham,,,,ABR072558,,AbraCl20,,,7903,32004142-5207-2558-aa9e-69dbb38f46d7,1971-12-09,DB,DB,,,69,185,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/doc4f7yv4qjklkurq1hh",Florida State,,24,1995,1997,CAR,ACT,,,3,,,1995,5,143,TB
00-0019546,John Abraham,John,John,Abraham,,,,ABR073003,25322,AbraJo00,591,2507,2144,32004142-5207-3003-86cc-4d8433464ae2,1978-05-06,LB,OLB,,,76,263,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xy04q7bt6hiatezp83t6",South Carolina,,55,2000,2014,ARI,RES,,,15,ED,,2000,1,13,NYJ
00-0039403,Micah Abraham,Micah,Micah,Abraham,M.Abraham,Micah,,ABR073130,57321,AbraMi00,97232,11809,4427563,32004142-5207-3130-2d8a-f489f3d3a7b3,2000-12-11,DB,DB,DB,SLOT_CB,71,185,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s75ks5bbqajwu6vye8ps",Marshall,Sun Belt Conference,,2024,2024,CIN,DEV,RES,Reserve/Future,0,,,2024,6,201,IND
00-0000017,Donnie Abraham,Donnie,Nathaniel,Abraham,,,,ABR073258,,AbraDo00,,,1027,32004142-5207-3258-ebd3-814f82d39c58,1973-10-08,DB,CB,,,70,192,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfyq9ztqmw3snrsqogv5",East Tennessee State,,29,1996,2004,NYJ,ACT,,,9,,,1996,3,71,TB
ABR083058,Robert Abraham,Robert,Robert,Abraham,,,,ABR083058,,AbraRo20,,,,32004142-5208-3058-4826-b8a30adcb5a2,1960-07-13,LB,LB,,,73,228,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f4vaohzliud8xj2ymxch",N.C. State,,0,1982,1987,HOU,ACT,,,6,,,1982,3,77,HOU
00-0035693,Johnathan Abram,Johnathan,Johnathan,Abram,J.Abram,Johnathan,,ABR159741,47810,AbraJo01,34646,7818,3728305,32004142-5215-9741-f276-aebd8758d3ad,1996-10-25,DB,DB,DB,SAFETY,71,205,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d2zdaol75a3i4s2sdb4r",Mississippi State,Southeastern Conference,24,2019,2024,NO,CUT,CUT,PS; Vet,6,S,A,2019,1,27,LV
ABR166116,Danny Abramowicz,Danny,Daniel,Abramowicz,,,,ABR166116,,AbraDa00,,,,32004142-5216-6116-84d4-5850bc55b52d,1945-07-13,WR,WR,,,73,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/njn7ibtbvpkrkvwwclhe","Xavier University, Ohio",,0,1974,1975,BUF,ACT,,,9,,,,,,
ABR249174,Sid Abramowitz,Sid,Sidney,Abramowitz,,,,ABR249174,,AbraSi20,,,,32004142-5224-9174-e11a-1c4b17f24109,1960-05-21,OL,OT,,,78,280,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nmlfrhy6vggpm6msftwy",Tulsa; Air Force,,0,1983,1987,IND,ACT,,,3,,,1983,5,113,BAL
00-0035774,Delrick Abrams,Delrick,Delrick,Abrams,D.Abrams,Delrick,,ABR348434,52676,AbraDe00,83192,8997,4360643,32004142-5234-8434-3c41-b2aaeb1657b9,1997-04-04,DB,DB,DB,CB,75,180,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1cvw8cwhbo5g3ff1gpo",Colorado,Pacific Twelve Conference,42,2020,2020,ATL,DEV,DEV,Practice Squad,0,,,,,,
ABR390978,Josh Abrams,Josh,Josh,Abrams,,,,ABR390978,,,,,,32004142-5239-0978-c6ea-d3a4037ad056,1986-01-18,RB,RB,,,72,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdn0o0yq4tjtxw4thc9a",Ohio,,0,2008,2008,GB,DEV,,,0,,,,,,
00-0000025,Kevin Abrams,Kevin,Kevin,Abrams,,,,ABR397056,22383,AbraKe20,,,1201,32004142-5239-7056-a5a6-5c6acab130b7,1974-02-28,DB,CB,,,68,170,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nybaeprxjxlemhqfygxd",Syracuse,,24,1997,2000,DET,RES,,,3,,,1997,2,54,DET
ABR426540,Bobby Abrams,Bobby,Robert,Abrams,,,,ABR426540,,AbraBo20,,,7177,32004142-5242-6540-19c4-f9fbc46530d5,1967-04-12,LB,LB,,,75,242,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u6b3sgtggosrhxfnontb",Michigan,,0,1990,1996,NE,CUT,,,7,,,,,,
00-0039371,Kris Abrams-Draine,Kris,Kris,Abrams-Draine,K.Abrams-Draine,Kris,,ABR462444,57266,AbraKr00,124194,11753,4429193,32004142-5246-2444-8520-7fc5f4ad93f6,2001-10-04,DB,CB,DB,CB,71,178,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hc2oebsxs7vx7ydwiozy",Missouri,Southeastern Conference,31,2024,2026,DEN,ACT,ACT,Active,3,CB,A,2024,5,145,DEN
00-0039040,De'Von Achane,De'Von,De'Von,Achane,D.Achane,Devon,,ACH103822,55949,AchaDe00,124305,10908,4429160,32004143-4810-3822-6a71-b10965e0a57a,2001-10-13,RB,RB,RB,RB,69,195,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",Texas A&M,Southeastern Conference,28,2023,2026,MIA,ACT,ACT,Active,4,HB,A,2023,3,84,MIA
ACH207645,Steve Ache,Steve,Stephen,Ache,,,,ACH207645,,AcheSt20,,,,32004143-4820-7645-e1c1-29f754e1c55c,1962-03-16,LB,LB,,,75,229,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pyastgsvophdeco3qxac",Missouri State; Triton CC IL; Coffeyville CC,,0,1987,1987,MIN,ACT,,,0,,,,,,
ACH415290,George Achica,George,George,Achica,,,,ACH415290,,AchiGe20,,,,32004143-4841-5290-5d77-5cf3403a8220,1960-12-19,DL,DT,,,77,260,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fyxmhnsdwlhpqbzt47qh",USC,,0,1985,1985,IND,ACT,,,1,,,1983,3,57,BAL
00-0029428,Emmanuel Acho,Emmanuel,Emmanuel,Acho,,Emmanuel,,ACH665901,38733,AchoEm00,7189,274,15045,32004143-4866-5901-6bb7-042995de7d6e,1990-11-10,LB,LB,,,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mtwv8tun8igvcsd6ljzb",Texas,Big Twelve Conference,51,2012,2015,PHI,CUT,CUT,Inactive,4,LB,,2012,6,204,CLE
00-0028041,Sam Acho,Sam,Samuel,Acho,S.Acho,Sam,,ACH678651,37178,AchoSa00,6255,423,14152,32004143-4867-8651-d2c8-1e5961b5295e,1988-09-06,LB,LB,LB,EDGE,75,259,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqoygt7fpqcakogjwk92",Texas,,96,2011,2019,TB,ACT,RES,,9,ED,,2011,4,103,ARI
00-0022520,D.D. Acholonu,D.D.,Dilibe,Acholonu,,,,ACH692151,,,,,3998259,32004143-4869-2151-5bdb-e00914b1da24,1980-10-17,LB,LB,,,74,339,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yiamse13eq36lxwpjjuv",Washington State,,59,2004,2004,HOU,ACT,,,0,,,,,,
00-0031186,Kenneth Acker,Kenneth,Kenneth,Acker,K.Acker,Kenneth,,ACK184395,41409,AckeKe00,8815,3119,16914,32004143-4b18-4395-8abd-e4dfacc45ca6,1992-02-06,DB,CB,,,72,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xco7k2vow8effgzzuebb",SMU,,25,2014,2017,KC,ACT,CUT,,4,CB,,2014,6,180,SF
ACK207645,Bill Acker,Bill,William,Acker,,,,ACK207645,,AckeBi20,,,,32004143-4b20-7645-7a47-0dfe14eccea9,1956-11-07,DL,NT,,,75,255,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zr12jdbdoerycf8ojopn",Texas,,0,1980,1987,KC,ACT,,,6,,,1980,6,142,LA
ACK415290,Rick Ackerman,Rick,Richard,Ackerman,,,,ACK415290,,AckeRi20,,,,32004143-4b41-5290-4498-3fcee4d45ad0,1959-06-16,DL,DT,,,76,258,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dikh49cadskd6n3jgztf",Memphis,,0,1982,1987,LV,ACT,,,4,,,,,,
00-0000032,Tom Ackerman,Tom,Thomas,Ackerman,,,,ACK425040,,AckeTo20,,,1028,32004143-4b42-5040-5e4c-ffc2696ade34,1972-09-06,OL,C,,,76,295,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s7tpjn4fly0ulwp8mx5l",Eastern Washington,,67,1996,2003,TEN,ACT,,,8,,,1996,5,145,NO
ACK622935,Ron Acks,Ron,Ronald,Acks,,,,ACK622935,,AcksRo20,,,,32004143-4b62-2935-efc4-ad22d25a18aa,1944-10-03,LB,MLB,,,74,214,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y7qopudedhg5rm3nq3kn",Illinois,,0,1974,1976,GB,ACT,,,8,,,,,,
ACO415291,Fred Acorn,Fred,Frederick,Acorn,,,,ACO415291,,AcorFr20,,,,32004143-4f41-5291-f307-760f4c777075,1961-03-17,DB,CB,,,70,185,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqy1fqbye0486bkxas2k",Texas,,0,1984,1984,TB,ACT,,,0,,,1984,3,57,TB
00-0035801,DeMarkus Acy,DeMarkus,DeMarkus,Acy,D.Acy,DeMarkus,,ACY415291,52703,AcyxDe00,27442,9169,4035103,32004143-5941-5291-52f1-5257c81c2abf,1998-04-29,DB,CB,,,74,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jayf1rp2c723inmy6z5c",Missouri,Southeastern Conference,0,2020,2021,PIT,RES,RES,R/Injured,1,,,,,,
ADA083058,Mike Adamle,Mike,Michael,Adamle,,,,ADA083058,,AdamMi01,,,,32004144-4108-3058-4e61-3186aba6beb0,1949-10-04,RB,RB,,,69,197,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apmookl9zrmoz4xsvi1u",Northwestern,,0,1974,1976,CHI,ACT,,,6,,,,,,
00-0029831,Aaron Adams,Aaron,Aaron,Adams,,,,ADA099119,,AdamAa00,8147,2757,16296,32004144-4109-9119-4a5f-ac978efbb8fd,1989-05-16,OL,OT,,,77,303,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mnu8qzhos3gcpwjmjl1v",Eastern Kentucky,,77,2013,2014,GB,RES,,,1,,,,,,
00-0029271,Joe Adams,Joe,Adam,Adams,,,,ADA404040,38634,AdamJo01,7104,1173,14917,32004144-4140-4040-3434-af46e7ac2a54,1989-11-22,WR,WR,,,71,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lpc12417syntfirc36xd",Arkansas,,15,2012,2012,CAR,ACT,,,0,WR,,2012,4,104,CAR
ADA102090,Theo Adams,Theo,Adam,Adams,,,,ADA102090,,AdamTh20,,,,32004144-4110-2090-6abf-8ef3666dd2e8,1966-04-24,OL,G,,,76,300,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yps9zpuwrc16ypkkdwkd",Hawaii,,0,1992,1995,PHI,CUT,,,3,,,,,,
00-0032637,Andrew Adams,Andrew,Andrew,Adams,A.Adams,Andrew,,ADA104253,43757,AdamAn00,11240,5286,2576599,32004144-4110-4253-90b0-6732ffb3edf8,1993-08-28,DB,DB,DB,SAFETY,71,205,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcek7tec4fmt3agbba2s",Connecticut,American Athletic Conference,37,2016,2023,BAL,DEV,DEV,PS; Vet,8,S,P,,,,
00-0033521,Keion Adams,Keion,Anfernee,Adams,K.Adams,Keion,,ADA472969,45061,AdamKe02,12003,5834,3042773,32004144-4147-2969-d09b-361cb348f9db,1995-06-08,LB,LB,,,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h9uozd4syjs9cphicmfg",Western Michigan,,39,2017,2019,NYG,CUT,DEV,,2,,,2017,7,248,PIT
00-0022085,Anthony Adams,Anthony,Anthony,Adams,,,,ADA106417,28093,AdamAn20,1372,6733,4515,32004144-4110-6417-6e89-57081c38b0b6,1980-06-18,DL,DT,,,72,310,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pja0wweiwsjeiqvs7htg",Penn State,,95,2003,2011,CHI,ACT,,,9,DI,,2003,2,57,SF
ADA110744,Tony Adams,Tony,Anthony,Adams,,,,ADA110744,,AdamTo00,,,,32004144-4111-0744-f8cf-a92673487740,1950-03-09,QB,QB,,,72,198,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hg2szmeexh3xuhyotfwf",Utah State; Texas,,0,1975,1987,MIN,ACT,,,5,,,,,,
00-0021006,Charlie Adams,Charlie,Charles,Adams,,,,ADA144366,,AdamCh00,,,4447,32004144-4114-4366-a0aa-98592d49b4d2,1979-10-23,WR,WR,,,74,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u36athj3mdl3ka6lk2ve",Hofstra,,19,2003,2006,HOU,ACT,,,4,,,,,,
ADA166116,Curtis Adams,Curtis,Curtis,Adams,,,,ADA166116,,AdamCu00,,,,32004144-4116-6116-84da-728b4e9797f6,1962-04-30,RB,RB,,,71,198,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m4vkaojzdmqtiwzddb9q",Central Michigan,,0,1985,1988,LAC,ACT,,,3,,,1985,8,207,LAC
00-0031115,D.J. Adams,D.J.,D.J.,Adams,,,,ADA242233,,AdamD.00,,,16961,32004144-4124-2233-bb89-ffa1f872bfc1,1990-09-27,RB,RB,,,70,210,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvmxco2rec1o5c4r2flm",Portland State; Maryland,,0,2014,2014,LAC,RSN,,,0,,,,,,
00-0022031,Blue Adams,Blue,Danny,Adams,,,,ADA193052,28256,AdamBl20,1518,,4678,32004144-4119-3052-1a64-d825996442ed,1979-10-15,DB,DB,,,70,184,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kj2vpmkjciulekc2cnw8",Cincinnati,,46,2003,2007,CIN,ACT,,,4,,,2003,7,220,DET
00-0024121,Darrell Adams,Darrell,Darrell,Adams,,,,ADA207646,,,,,,32004144-4120-7646-519a-2a7829cd9572,1983-09-16,DL,DE,,,72,282,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iaeby0avvohk3bvk75gy",Villanova,,98,2006,2006,NYJ,DEV,,,0,,,,,,
00-0028746,Darvin Adams,Darvin,Darvin,Adams,,,,ADA214943,,AdamDa00,6856,6773,14759,32004144-4121-4943-572a-6a3963967e77,1990-01-05,WR,WR,,,74,194,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gp7dezgpf6nmzbkeizjv",Auburn,,86,2011,2011,CAR,ACT,,,0,WR,A,,,,
00-0031381,Davante Adams,Davante,Davante,Adams,D.Adams,Davante,,ADA218591,41282,AdamDa01,8688,2992,16800,32004144-4121-8591-4d26-4c0ac739af41,1992-12-24,WR,WR,WR,WR,73,204,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl",Fresno State,Mountain West Conference,17,2014,2026,LA,ACT,ACT,Active,13,WR,A,2014,2,53,GB
ADA222240,Brent Adams,Brent,David,Adams,,,,ADA222240,,AdamBr20,,,,32004144-4122-2240-daf2-3af50a0a9f06,1952-06-26,OL,OT,,,77,256,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/suxdryubfcql90fpeh8v",Tennessee,,0,1975,1979,LA,ACT,,,4,,,1975,8,185,ATL
ADA229740,David Adams,David,David,Adams,,,,ADA229740,,AdamDa20,,,,32004144-4122-9740-ff4e-d0d351be1872,1964-06-24,RB,RB,,,66,168,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcid4j0nzil7v9f7wwl3",Arizona,,0,1987,1987,DAL,ACT,,,0,,,1987,12,309,IND
ADA249174,Doug Adams,Doug,Douglas,Adams,,,,ADA249174,,AdamDo20,,,,32004144-4124-9174-932a-d9ec5c297efe,1949-11-03,LB,MLB,,,73,225,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lhtvdwzha0jv9dbpgvhs",Ohio State,,0,1974,1974,CIN,ACT,,,4,,,,,,
ADA276860,Earnest Adams,Earnest,Earnest,Adams,,,,ADA276860,,AdamEa20,,,,32004144-4127-6860-a66c-079320198532,1959-03-12,LB,LB,,,74,226,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nijc8gaeklvo9koxkxct",Illinois,,0,1987,1987,DET,ACT,,,1,,,,,,
00-0000045,Flozell Adams,Flozell,Flozell,Adams,,,,ADA280969,23485,AdamFl00,354,,1469,32004144-4128-0969-9390-de3ae33872eb,1975-05-18,OL,OT,,,79,338,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tvzbhead7hjhqpcbilgc",Michigan State,,71,1998,2010,PIT,ACT,,,13,,,1998,2,38,DAL
00-0025391,Gaines Adams,Gaines,Gaines,Adams,,,,ADA289187,32197,AdamGa99,3620,,10449,32004144-4128-9187-9605-34d44adf891d,1983-06-08,DL,DE,,,77,258,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s0wfqhtggx5qw5ihlpjx",Clemson,,99,2007,2009,CHI,NWT,,,3,,,2007,1,4,TB
00-0000047,George Adams,George,George,Adams,,,,ADA304546,,AdamGe00,,,,32004144-4130-4546-1330-206bc14699ee,1962-12-22,RB,RB,,,73,225,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/az7w0uulag2praliusgu",Kentucky,,0,1985,1991,NE,CUT,,,6,,,1985,1,19,NYG
ADA324014,Harry Adams,Harry,Harry,Adams,,,,ADA324014,,,,,16677,32004144-4132-4014-4d1a-989672828d41,1989-11-27,WR,WR,,,72,183,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cruzfwz6pbeb1k89utp0",Auburn,,0,2013,2013,LA,DEV,,,0,,,,,,
00-0039808,Isaiah Adams,Isaiah,Isaiah,Adams,I.Adams,Isaiah,,ADA373948,57192,AdamIs01,158192,11679,5084939,32004144-4137-3948-a77f-ac8f4d02b20f,2000-07-21,OL,G,OL,G,76,316,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ule1nyboygcfxxc0qz8l",Illinois; Garden City CC,Big Ten Conference,74,2024,2026,ARI,ACT,ACT,Active,3,G,A,2024,3,71,ARI
00-0033872,Jamal Adams,Jamal,Jamal,Adams,J.Adams,Jamal,,ADA392115,44818,AdamJa00,11761,5590,3115373,32004144-4139-2115-dda7-1e943e0d454b,1995-10-17,LB,LB,DB,SLOT_CB,73,213,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plodzh6kwjvhpo2mf3ie",LSU,Southeastern Conference,32,2017,2026,MIN,RES,CUT,PS; Vet,10,LB,A,2017,1,6,NYJ
